"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 17 17:45:20 GMT 2024","Fri May 17 17:45:20 GMT 2024","225","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","blankPasswordField","blankPasswordField","Attempting to log in without providing input for the ""Password"" field"
"passed","Fri May 17 17:45:24 GMT 2024","Fri May 17 17:45:26 GMT 2024","1863","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","correct","correct","Logging in using correct credentials"
"passed","Fri May 17 17:44:36 GMT 2024","Fri May 17 17:44:36 GMT 2024","260","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","passwordField","passwordField","Verification of the ""Password"" field text input"
"passed","Fri May 17 17:44:42 GMT 2024","Fri May 17 17:44:42 GMT 2024","252","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 17:45:09 GMT 2024","Fri May 17 17:45:11 GMT 2024","1493","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
"failed","Fri May 17 17:44:59 GMT 2024","Fri May 17 17:45:01 GMT 2024","1766","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 17:45:05 GMT 2024","Fri May 17 17:45:05 GMT 2024","222","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","blankEmailField","blankEmailField","Attempting to log in without providing input for the ""Email Address"" field"
"passed","Fri May 17 17:44:46 GMT 2024","Fri May 17 17:44:46 GMT 2024","230","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 17:45:15 GMT 2024","Fri May 17 17:45:16 GMT 2024","937","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectPassword","incorrectPassword","Attempting to log in using an incorrect password"
"failed","Fri May 17 17:44:50 GMT 2024","Fri May 17 17:44:51 GMT 2024","246","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
"passed","Fri May 17 17:44:32 GMT 2024","Fri May 17 17:44:32 GMT 2024","135","Login form","Input text validation","tests.login.InputTextValidationTest","tests.login.InputTextValidationTest","emailField","emailField","Verification of the ""Email address"" field text input"
"failed","Fri May 17 17:44:55 GMT 2024","Fri May 17 17:44:55 GMT 2024","232","Login form","Login","tests.login.LoginTest","tests.login.LoginTest","incorrectEmailFormat","incorrectEmailFormat","Attempting to log in using an incorrect email format"
